[AUS3D] ReadSPIRV OK: shaders/common/fullscreen_vk.vert.spv (1340 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000033)
[AUS3D] ReadSPIRV OK: shaders/aus3d/diag_red.frag.spv (432 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000010)
[AUS3D] ReadSPIRV OK: shaders/aus3d/diag_uv_raw.frag.spv (488 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000013)
[AUS3D] ReadSPIRV OK: shaders/aus3d/diag_eyepos_raw.frag.spv (1544 bytes, first4=0x07230203 0x00010000 0x0008000b 0x0000001f)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_uv.frag.spv (5664 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000d8)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_ubo.frag.spv (4868 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b6)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_light.frag.spv (5372 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000cd)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/test_white.frag.spv (4584 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ab)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_post.frag.spv (5696 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000dd)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v02_solid.frag.spv (4668 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b0)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v01_rim_bump.frag.spv (11920 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000001f2)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v02_solid.frag.spv (4668 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b0)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v02_diffuse_tex.frag.spv (6076 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ec)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v07_toon.frag.spv (5880 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ed)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v07_halflambert.frag.spv (4696 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b1)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v07_specular.frag.spv (5280 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000cb)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v14_rim.frag.spv (5352 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ce)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v16_carpaint.frag.spv (8600 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000160)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v12_rgb_cube.frag.spv (7384 bytes, first4=0x07230203 0x00010000 0x0008000b 0x0000012a)
[AUS3D] ReadSPIRV OK: shaders/aus3d/v13_alpha_cube.frag.spv (7060 bytes, first4=0x07230203 0x00010000 0x0008000b 0x0000011b)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v13_twoside_cube.frag.spv (7020 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000119)
[AUS3D] ReadSPIRV OK: shaders/aus3d/diag_red.frag.spv (432 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000010)
[AUS3D] ReadSPIRV OK: shaders/aus3d/diag_uv_raw.frag.spv (488 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000013)
[AUS3D] ReadSPIRV OK: shaders/aus3d/diag_eyepos_raw.frag.spv (1544 bytes, first4=0x07230203 0x00010000 0x0008000b 0x0000001f)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_uv.frag.spv (5664 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000d8)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_ubo.frag.spv (4868 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b6)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_light.frag.spv (5372 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000cd)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/test_white.frag.spv (4584 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ab)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/diag_post.frag.spv (5696 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000dd)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v02_solid.frag.spv (4668 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b0)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v01_rim_bump.frag.spv (11920 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000001f2)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v02_solid.frag.spv (4668 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b0)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v02_diffuse_tex.frag.spv (6076 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ec)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v07_toon.frag.spv (5880 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ed)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v07_halflambert.frag.spv (4696 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000b1)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v07_specular.frag.spv (5280 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000cb)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v14_rim.frag.spv (5352 bytes, first4=0x07230203 0x00010000 0x0008000b 0x000000ce)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v16_carpaint.frag.spv (8600 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000160)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v12_rgb_cube.frag.spv (7384 bytes, first4=0x07230203 0x00010000 0x0008000b 0x0000012a)
[AUS3D] ReadSPIRV OK: shaders/aus3d/v13_alpha_cube.frag.spv (7060 bytes, first4=0x07230203 0x00010000 0x0008000b 0x0000011b)
[AUS3D] ReadSPIRV OK: build/shaders/aus3d/v13_twoside_cube.frag.spv (7020 bytes, first4=0x07230203 0x00010000 0x0008000b 0x00000119)
